N(O(1, 4), -2, [4,0,0,0], [0,0,0,0]) = 6
N(O(1, 4), -2, [2,1,0,0], [0,0,0,0]) = 1
N(O(1, 4), -2, [1,0,1,0], [0,0,0,0]) = 0
N(O(1, 4), -2, [0,2,0,0], [0,0,0,0]) = 0
N(O(1, 4), -2, [0,0,0,1], [0,0,0,0]) = 0
N(O(1, 4), -2, [3,0,0,0], [1,0,0,0]) = 15
N(O(1, 4), -2, [1,1,0,0], [1,0,0,0]) = 4
N(O(1, 4), -2, [0,0,1,0], [1,0,0,0]) = 0
N(O(1, 4), -2, [2,0,0,0], [2,0,0,0]) = 21
N(O(1, 4), -2, [2,0,0,0], [0,1,0,0]) = 2
N(O(1, 4), -2, [0,1,0,0], [2,0,0,0]) = 10
N(O(1, 4), -2, [0,1,0,0], [0,1,0,0]) = 0
N(O(1, 4), -2, [1,0,0,0], [3,0,0,0]) = 21
N(O(1, 4), -2, [1,0,0,0], [1,1,0,0]) = 10
N(O(1, 4), -2, [1,0,0,0], [0,0,1,0]) = 0
N(O(1, 4), -2, [0,0,0,0], [4,0,0,0]) = 21
N(O(1, 4), -2, [0,0,0,0], [2,1,0,0]) = 30
N(O(1, 4), -2, [0,0,0,0], [1,0,1,0]) = 0
N(O(1, 4), -2, [0,0,0,0], [0,2,0,0]) = 0
N(O(1, 4), -2, [0,0,0,0], [0,0,0,1]) = 0
