N(1h+4f, -2, [4,0,0,0], [0,0,0,0]) = 6
N(1h+4f, -2, [2,1,0,0], [0,0,0,0]) = 1
N(1h+4f, -2, [1,0,1,0], [0,0,0,0]) = 0
N(1h+4f, -2, [0,2,0,0], [0,0,0,0]) = 0
N(1h+4f, -2, [0,0,0,1], [0,0,0,0]) = 0
N(1h+4f, -2, [3,0,0,0], [1,0,0,0]) = 15
N(1h+4f, -2, [1,1,0,0], [1,0,0,0]) = 4
N(1h+4f, -2, [0,0,1,0], [1,0,0,0]) = 0
N(1h+4f, -2, [2,0,0,0], [2,0,0,0]) = 21
N(1h+4f, -2, [2,0,0,0], [0,1,0,0]) = 2
N(1h+4f, -2, [0,1,0,0], [2,0,0,0]) = 10
N(1h+4f, -2, [0,1,0,0], [0,1,0,0]) = 0
N(1h+4f, -2, [1,0,0,0], [3,0,0,0]) = 21
N(1h+4f, -2, [1,0,0,0], [1,1,0,0]) = 10
N(1h+4f, -2, [1,0,0,0], [0,0,1,0]) = 0
N(1h+4f, -2, [0,0,0,0], [4,0,0,0]) = 21
N(1h+4f, -2, [0,0,0,0], [2,1,0,0]) = 30
N(1h+4f, -2, [0,0,0,0], [1,0,1,0]) = 0
N(1h+4f, -2, [0,0,0,0], [0,2,0,0]) = 0
N(1h+4f, -2, [0,0,0,0], [0,0,0,1]) = 0
