N(2h+4f, -5, [4,0,0,0], [0,0,0,0]) = 1
N(2h+4f, -5, [2,1,0,0], [0,0,0,0]) = 0
N(2h+4f, -5, [1,0,1,0], [0,0,0,0]) = 0
N(2h+4f, -5, [0,2,0,0], [0,0,0,0]) = 0
N(2h+4f, -5, [0,0,0,1], [0,0,0,0]) = 0
N(2h+4f, -5, [3,0,0,0], [1,0,0,0]) = 3
N(2h+4f, -5, [1,1,0,0], [1,0,0,0]) = 0
N(2h+4f, -5, [0,0,1,0], [1,0,0,0]) = 0
N(2h+4f, -5, [2,0,0,0], [2,0,0,0]) = 6
N(2h+4f, -5, [2,0,0,0], [0,1,0,0]) = 0
N(2h+4f, -5, [0,1,0,0], [2,0,0,0]) = 0
N(2h+4f, -5, [0,1,0,0], [0,1,0,0]) = 0
N(2h+4f, -5, [1,0,0,0], [3,0,0,0]) = 10
N(2h+4f, -5, [1,0,0,0], [1,1,0,0]) = 0
N(2h+4f, -5, [1,0,0,0], [0,0,1,0]) = 0
N(2h+4f, -5, [0,0,0,0], [4,0,0,0]) = 15
N(2h+4f, -5, [0,0,0,0], [2,1,0,0]) = 0
N(2h+4f, -5, [0,0,0,0], [1,0,1,0]) = 0
N(2h+4f, -5, [0,0,0,0], [0,2,0,0]) = 0
N(2h+4f, -5, [0,0,0,0], [0,0,0,1]) = 0
