N(O(1, 4), -4, [4,0,0,0], [0,0,0,0]) = 1
N(O(1, 4), -4, [2,1,0,0], [0,0,0,0]) = 0
N(O(1, 4), -4, [1,0,1,0], [0,0,0,0]) = 0
N(O(1, 4), -4, [0,2,0,0], [0,0,0,0]) = 0
N(O(1, 4), -4, [0,0,0,1], [0,0,0,0]) = 0
N(O(1, 4), -4, [3,0,0,0], [1,0,0,0]) = 2
N(O(1, 4), -4, [1,1,0,0], [1,0,0,0]) = 0
N(O(1, 4), -4, [0,0,1,0], [1,0,0,0]) = 0
N(O(1, 4), -4, [2,0,0,0], [2,0,0,0]) = 3
N(O(1, 4), -4, [2,0,0,0], [0,1,0,0]) = 0
N(O(1, 4), -4, [0,1,0,0], [2,0,0,0]) = 0
N(O(1, 4), -4, [0,1,0,0], [0,1,0,0]) = 0
N(O(1, 4), -4, [1,0,0,0], [3,0,0,0]) = 4
N(O(1, 4), -4, [1,0,0,0], [1,1,0,0]) = 0
N(O(1, 4), -4, [1,0,0,0], [0,0,1,0]) = 0
N(O(1, 4), -4, [0,0,0,0], [4,0,0,0]) = 5
N(O(1, 4), -4, [0,0,0,0], [2,1,0,0]) = 0
N(O(1, 4), -4, [0,0,0,0], [1,0,1,0]) = 0
N(O(1, 4), -4, [0,0,0,0], [0,2,0,0]) = 0
N(O(1, 4), -4, [0,0,0,0], [0,0,0,1]) = 0
